0, 0, 0
48, 50, 50
140, 150, 135
255, 255, 255
31, 29, 30
100, 92, 90
150, 145, 140
200, 200, 181
172, 10, 72
215, 25, 140
250, 90, 220
255, 182, 245
175, 0, 10
245, 50, 10
245, 145, 110
247, 195, 160
81, 24, 6
255, 110, 20
248, 160, 4
248, 210, 128
100, 40, 8
200, 105, 0
240, 255, 0
255, 255, 142
40, 125, 8
108, 194, 14
132, 244, 8
196, 255, 130
0, 90, 32
8, 180, 40
0, 230, 15
196, 255, 145
2, 70, 55
5, 130, 108
42, 220, 135
168, 255, 185
26, 0, 112
20, 42, 208
13, 200, 217
50, 250, 210
60, 30, 142
85, 85, 230
110, 142, 240
170, 192, 252
65, 9, 102
128, 28, 192
190, 90, 255
225, 182, 255
